pair,Word_Number,type,total,other,other_word,correct,wrong,Threshold,Correct_Percentage,Wrong_Percentage
27,1.0,C,31.0,3.0,16.0,12.0,19.0,4460.871365955114,0.3870967741935484,0.6129032258064516
27,2.0,C,32.0,1.0,13.0,18.0,14.0,4968.341111615618,0.5625,0.4375
28,1.0,C,31.0,3.0,10.0,18.0,13.0,4312.630926059222,0.5806451612903226,0.41935483870967744
28,2.0,C,31.0,3.0,14.0,14.0,17.0,5210.724545372359,0.45161290322580644,0.5483870967741935
29,1.0,C,39.0,5.0,12.0,22.0,17.0,4012.7132009501956,0.5641025641025641,0.4358974358974359
29,2.0,C,39.0,8.0,15.0,16.0,23.0,4169.743599084468,0.41025641025641024,0.5897435897435898
30,1.0,C,37.0,1.0,13.0,23.0,14.0,3331.8182550192464,0.6216216216216216,0.3783783783783784
30,2.0,C,37.0,2.0,19.0,16.0,21.0,3291.4159838765786,0.43243243243243246,0.5675675675675675
31,1.0,C,35.0,4.0,16.0,15.0,20.0,3952.668152660576,0.42857142857142855,0.5714285714285714
31,2.0,C,37.0,3.0,19.0,15.0,22.0,4265.133376571279,0.40540540540540543,0.5945945945945946
32,1.0,C,34.0,3.0,10.0,21.0,13.0,3481.6148991868295,0.6176470588235294,0.38235294117647056
32,2.0,C,37.0,4.0,14.0,19.0,18.0,3488.763808097978,0.5135135135135135,0.4864864864864865
33,1.0,C,35.0,1.0,9.0,25.0,10.0,5170.510648715444,0.7142857142857143,0.2857142857142857
33,2.0,C,35.0,3.0,19.0,13.0,22.0,6051.706389258289,0.37142857142857144,0.6285714285714286
34,1.0,C,35.0,3.0,9.0,23.0,12.0,4464.240805916336,0.6571428571428571,0.34285714285714286
34,2.0,C,35.0,5.0,16.0,14.0,21.0,5042.772376357773,0.4,0.6
35,1.0,C,38.0,4.0,16.0,18.0,20.0,3706.9558013741594,0.47368421052631576,0.5263157894736842
35,2.0,C,37.0,2.0,16.0,19.0,18.0,4375.722303817696,0.5135135135135135,0.4864864864864865
36,1.0,C,40.0,3.0,12.0,25.0,15.0,4808.514730504206,0.625,0.375
36,2.0,C,39.0,4.0,26.0,9.0,30.0,4147.772542848624,0.23076923076923078,0.7692307692307693
37,1.0,C,39.0,1.0,10.0,28.0,11.0,2436.142843976901,0.717948717948718,0.28205128205128205
37,2.0,C,39.0,5.0,23.0,11.0,28.0,2724.3297694854687,0.28205128205128205,0.717948717948718
38,1.0,C,34.0,1.0,12.0,21.0,13.0,4005.1681209025583,0.6176470588235294,0.38235294117647056
